,Title,ParentGame,ReleaseDate,Team,Rating,xListed,xReviewed,Platforms,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist
10,Pokémon Red,,"Feb 27, 1996","['Nintendo', 'Game Freak']",3.4,828,285,"['Nintendo 3DS', 'Game Boy']","['Adventure', 'RPG', 'Turn Based Strategy']","Pokémon Red, along with Pokémon Green, are the first video games in the Pokémon series of games. They are the first paired versions of Generation I. Developed over the course of several years, Red and Green established several standards for later Pokémon games and sequels. They take place in the Kanto region, with the player having to collect eight Gym Badges to become the Pokémon Champion while also completing the Pokédex by collecting all 151 Pokémon.","[""27 years later and this game is definitely showing its age, but it's fun to revisit where it all started. I would definitely recommend skipping the originals for the remakes, but this was a good excuse to pull out the Game Boy again for a pure nostalgia experience."", ""It's aged now, but for its day it was revolutionary."", ""Awesome and wonderous. There is a unique and irreplaceable charm to the games, an unadulterated joy to traversing the game world, delicately balanced between open exploration and going down the paths, in a mysterious world with your mysterious partners and a impeccable soundscape. The music entrances you, fills your soul, as you try to figure out what to do, until you make your way through Victory Road and go to claim the spot of champion for your team. It's an unforgettable experience."", 'I spent thousands of hours playing this game as a kid. It is amazing.\n                     \n                     This game spawned a franchise that is still a global phenomenon over 30 years later.\n                     \n                     It can be a bit hard to go back and play it now with all the QoL stuff that have come with subsequent generations, but it is still worth one playthrough.', ""Pokemon is a series that's (in all honesty) always been mid to me."", 'Found something resembling a cat under a truck once']",9400,57,462,170
11,Stardew Valley,,"Feb 26, 2016","['ConcernedApe', 'Chucklefish Games']",4.1,1900,1300,"['Windows PC', 'Android', 'Mac', 'Linux', 'PlayStation 4', 'iOS', 'Xbox One', 'PlayStation Vita', 'Nintendo Switch']","['Indie', 'RPG', 'Simulator', 'Strategy']","Stardew Valley is an open-ended country-life RPG! You’ve inherited your grandfather’s old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home? It won’t be easy. Ever since Joja Corporation came to town, the old ways of life have all but disappeared. The community center, once the town’s most vibrant hub of activity, now lies in shambles. But the valley seems full of opportunity. With a little dedication, you might just be the one to restore Stardew Valley to greatness!","[""i bought this game a few days before the new years of 2020, and after i first booted it up i just couldn't put it down. wonderful and charming farming simulator that i'll probably revisit later on down the line so i can 100% it"", '2021, um ano sombrio. Precisava tomar escolhas importantes pra minha vida. Um ano sombrio, mas possivelmente o mais importante de minha vida até então. No meio de tantos problemas e indecisões, eu precisava me acalmar. Procurando coisas pra fazer, e me desvencilhando do resto, comecei a jogar Stardew Valley. O jogo em si não tem uma mensagem definitiva, mas o estilo dele faz com que você desenvolva essa interpretação do mesmo. O personagem principal fugindo da vida atual, cheia de toxicidade, dopamina, política, cansaço, trabalho etc. E indo para um lugar pacato e longínquo tentando achar um significado pra tudo isso, ao mesmo tempo assegurando a fazenda do seu avô. Durante toda essa caminhada eu me senti representado, eu só queria fugir de tudo, tal como o personagem principal, e lá estava eu cuidando da minha bela fazenda, ouvindo as OSTs perfeitas, pescando, chovendo, se relacionando e aprendendo os valores da vida simples, cujo hoje nós quase não temos. Aprendi a valorizar muitas coisas que hoje me fazem um homem diferente, que usou daquele homem sombrio como combustível para eu ser o que sou hoje.', 'life-changing', 'SOOOO MUCH FUN…harvey ❤️', 'stardew valley is like coraline. if a hot girl or guy asks, it is my favorite game. if my friend asks, its up there, but not really my favorite', 'fazendinha uhu']",22000,2200,3900,1200
12,Stranger of Paradise: Final Fantasy Origin,,"Mar 18, 2022","['Team NINJA', 'Square Enix']",3.6,667,368,"['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Xbox Series']","['Adventure', 'RPG']","Jack and his allies, Ash and Jed, burn with resolve to defeat Chaos as they throw open the gates to the Chaos Shrine. Yet doubts remain—are they truly the Warriors of Light the prophecy foretold?
              
              Step into a world of dark fantasy and revel in the exhilarating, action-packed battles!","['jogo ruim que ao mesmo tempo é bom kkkkkkkkkkk', 'Jack Garland is the first good final fantasy protagonist', 'Not a fan of combat, bit messed up with being a mage or fighter. The equipment is bit messed up also. Yes even the skill tree.\n                     \n                     Epic fail, this is what happens when they try to create something new and think its going to be cool.\n                     \n                     Best to stick to other Final Fantasy series.', ""After playin I'm unironically gassin this up."", 'I kneel, Jack Garland. I am now a certified Garland glucker', 'It was too funny i had to stop playing']",1800,203,1400,1500
13,Demon's Souls,,"Nov 12, 2020","['Bluepoint Games', 'Sony Interactive Entertainment']",3.9,958,384,['PlayStation 5'],"['Adventure', 'RPG']","Entirely rebuilt from the ground up and masterfully enhanced, Demon's Souls is a remake of the 2009 release that introduces the horrors of a fog-laden, dark fantasy land to a whole new generation of gamers. Those who’ve faced its trials and tribulations before, can once again challenge the darkness in stunning visual quality with incredible performance. The remake features improved graphics and animations, sound and lighting tweaks and a reimagining of many of the visual, musical and mechanical aspects of the original game.","['Très court et pas aussi exigeant que les autres FS', ""Shelved pour le moment, le fait que le jeu soit un remake que graphique me dérange vraiment, le game-design est pauvre et les idées sont vraiment pas bonnes ça a trop mal vieilli à la façon d'un DS1 mais bien pire.\n                     \n                     Les décors sont beaux et il y'a un bon lore mais globalement que ça soit les zones, les mobs, même les objets que t'utilises je vois juste un gros setback et c'est dommage, j'attends de voir la suite."", 'Om mani padme hum Oṃ Amideva Hrīḥ Om A Ra Pa Ca Na Dhih', 'best game ever', ""Demon's Souls is obtuse, unforgiving, unkind, and unaccomodating. Yet - I loved my time with it so much that I devoured the whole thing in just a few days."", '[Reposting my old reviews from another site for archive, and updating them if needed]']",4500,402,2600,2300
14,The Witcher 3: Wild Hunt - Game of the Year Edition,,"Aug 29, 2016","['CD Projekt RED', 'CD Projekt']",4.5,518,257,"['Windows PC', 'PlayStation 4', 'Xbox One']","['Adventure', 'RPG']","Become a professional monster slayer and embark on an adventure of epic proportions! Upon its release, The Witcher 3: Wild Hunt became an instant classic, claiming over 250 Game of the Year awards. Now you can enjoy this huge, over 100-hour long, open-world adventure along with both its story-driven expansions worth an extra 50 hours of gameplay. This edition includes all additional content - new weapons, armor, companion outfits, new game mode and side quests.","['The Witcher é uma fusão de sentimentos contrastantes que resulta em um jogo verdadeiramente singular em meio a uma indústria debilitada, e que, quase uma década depois, ainda parece ser um produto que reflete o ápice moderno e refinado da mídia de jogos.', 'Completed on both Xbox One and PC', ""Perfect game. Challenging combat, fun little puzzles and exploration event, great plot and dialogue, an open-world map that feel lived in. I've got 150+ hours logged and regularly consider starting all over again."", 'Played a small bit but intend to eventually play it fully.', 'An amazing game if you make it out of the ""tutorial area""\n                     \n                     Both DLC\'s are even better than the game itself.', '¿Ciri? No se de qué me estas hablando']",6500,424,2300,507
15,Resident Evil 4,,"Sep 08, 2011","['Capcom', 'Capcom Production Studio 4']",4.3,681,361,"['Xbox 360', 'PlayStation 4', 'PlayStation 3', 'Xbox One', 'Nintendo Switch']","['Adventure', 'Shooter']","Resident Evil 4 HD is directly based off the Wii port, having all the new features that the Wii added. Some of the key features of this version are stunning HD graphics running at a smooth 60 frames per second for the first time. It also features a complete visual overhaul to bring this revered title to the highest graphical quality ever. It has been fully optimized for the wide screen, texts have been sharpened and textures have been upgraded on characters, backgrounds and in-game objects.
             

              However, it should be noted that the cutscenes of the Separate Ways scenario are not in HD and have had their resolution lowered and placed in sepia format. Aside from the updated HUD, the Movie Browser is fixed to now display real time cut-scenes instead of the PS2 pre-rendered cut-scene, like it was the Wii version. The Mercenaries costumes cheat remain and fully work.","['SO AWESOME loved the atmosphere and the fact that it felt heavier on resource conservation for fighting instead of surviving, every section was really interesting in setting and gameplay. i dont think i could have played any other version besides the wii version honestly. wii mote ftw.', 'Figured I\'d get on this now that the remake has dropped. I really admire the franchise daring to be stupid after three pretty straightforward infection outbreak survival horror games. Stupid in the way that makes you genuinely go ""hell yeah"" when you\'re playing it. Metal Gear Rising: Revengeance owes a lot to this in that sense.', ""Played it on the Wii. I couldn't stand the controls so out it down very quick. Can't hold a gun and walk at the same time?"", 'leon let me hit', 'Perfeito, simplesmente perfeito.', 'RIP Mike']",6100,170,1300,461
16,Mass Effect Legendary Edition,,"May 14, 2021","['BioWare', 'EA']",4.5,636,280,"['Windows PC', 'PlayStation 4', 'Xbox One']","['Adventure', 'RPG', 'Shooter', 'Strategy']","One person is all that stands between humanity and the greatest threat it’s ever faced. Relive the legend of Commander Shepard in the highly acclaimed Mass Effect trilogy with the Mass Effect Legendary Edition. Includes single-player base content and over 40 DLCs from Mass Effect, Mass Effect 2, and Mass Effect 3 games, including promo weapons, armors and packs. Experience an amazingly rich and detailed universe where your decisions have profound consequences on the action and the outcome.","[""I have no words. Play this Trilogy. There's nothing else like it."", ""Star Wars ain't got shit on this."", 'Gotta play this game when I have a moment', 'te amo', 'Mega threesome', ""Having played the original trilogy in 2019 and again with this remaster collection, it's safe to say this is a trilogy everyone even remotely interested in sci-fi should experience. Flawed, yes, but the journey is one I'll hold close to my heart for a long time.""]",3200,627,2600,972
17,Donkey Kong Country,,"Nov 18, 1994",['Rare'],3.9,1400,620,"['Wii U', 'Super Famicom', 'SNES', 'Wii', 'New Nintendo 3DS']","['Adventure', 'Platform']","Donkey Kong Country is a side scrolling platformer by British developers Rare in 1994. It featured revolutionary pre-rendered 3D graphics that give the game a very unique look compared to most other games on consoles at the time. The two playable characters featured in the game are the titular character, Donkey Kong and his nephew, Diddy Kong. Together the two swing, climb, jump, swim, cartwheel, ride animals, and blast out of barrels on their way to recover their stolen bannanas from the evil King K. Rool and his Kremling army. The adventure takes you through a variety of different environments and levels that continually change up gameplay. Donkey Kong Country also provides plenty of opportunities for exploration with almost every level having a multitude of collectible, shortcuts, and hidden bonus areas.","['The first video game I ever played. It was too scary compared to my VTech Video Painter, but I did return to it a couple years after sampling the NES in our household.', 'CADE UM NOVO DK NINTENDO PORRA????????', 'This game is a system seller. Its even better than Sonic (and for me these words are hard to say ). You can feel the flow and rhythm of each level and if you catch it the game rewards you for that...', ""the platforming in this game is pretty good, but the controls kinda make it worse than it should be, there's practically no reason to play as DK. the off-screen stuff gets old fast too, but the music is really great so i can let all that slide."", 'Soundtrack - 9.5/10\n                     \n                     Level Design - 9/10\n                     \n                     Graphics - 8/10\n                     \n                     Controls - 10/10\n                     \n                     Bosses - 5/10\n                     \n                     Difficulty - 6/10  - major difficulty spikes\n                     \n                     Platforming - 8.5/10', ""It's only been 4 years since I played this game. Yes 4 because it's my second playthrough, maybe my fifth. aside from its creation, I enjoyed playing GBA more. I recommend the GBA version because of this outdated graphic design today. Although the dark colors are less noticeable because of the GBA's LCD screen, it's a bit different and nicer in places with boss fights and extra sound effects. On top of that, it solves the problem of saving with its ubiquitous recording system and adds mini-games such as fishing and dancing, which you can have a lot of fun playing with two people.""]",12000,209,2000,561
18,LEGO Star Wars: The Skywalker Saga,,"Apr 05, 2022","[""Traveller's Tales"", 'WB Games']",3.5,722,422,"['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series']","['Adventure', 'Puzzle']","Lego Star Wars: The Skywalker Saga is a third-person action-adventure with an open world hub. Unlike previous Lego games in which players had to advance through the story in a linear order, players can now choose to start the game from any of the main Skywalker Saga episodes and complete them in any order they wish. Each episode has their own hub filled with planets featured prominently in each respective film that can be visited and explored. Each episode will have five story missions each, a total of 45 levels.
             

              Combat has also been revamped, such as lightsaber fights now involving a variety of combos with light attacks, heavy attacks, and Force moves, and blaster characters having an over-the-shoulder camera angle featured in many third-person shooter games.
             

              Random encounters will also happen in the game's hub. For example, an Imperial Star Destroyer will suddenly jump out of hyperspace and send a fleet of TIE Fighters after the player. Players can choose to engage in dogfights with them or continue onward to progress the story. The game will have more than 200 playable characters, though TT Games has said that number will change.","['This was a trip down memory lane when it comes to the two lego star wars games: the prequel and the original trilogy. Although these were the first two games that I have ever played growing up throughout my childhood instead of playing games that were popular at the time like Halo, Metal Gear Solid, or Half Life. But with that out of the way, The Skywalker Saga is pretty good and fun to play. There are plants you can explore and spaces to travel in between throughout the game that makes it fun. There is one planet however that I started to feel annoyed with its progression and its layout, Kef Bir. That planet was a chore to explore with one transition cutscene between lands and it was annoying. Then there was four floors that I needed to climb and it was a chore when doing main and side missions. Other than that, every planet did not feel boring to explore for collectibles and I am glad that i had my time with it. Not going to mention the Star Wars strories since I have said my part on ROTS, but not the others since I have watched them already. The only thing that affects the rating is the gameplay and that is all I care about. The Lego Skywalker saga was fun, funny, and delightful when it comes to finally closing the chapter on the skywalker saga. If you love the lego star wars games, then you will love this one.', ""On release I would've given this a 5 star rating, but when you finish and want to collect everything there is a severe lack of unique content. A lot of the planets reuse the same methods of collecting items over and over and it begins to feel stale when you finish an entire sector. When you are just playing normally, the experience is great and it is a fun modern LEGO game. It's certainly a great upgrade over the Complete Saga (which is also terrific) and completely redid the combat for the better. Collecting everything can be a major energy drain since there are so many repetitive methods. And some of the planets and hubs are miserable to explore. Also, the tutorials keep popping up even though I've sunk 90+ hours into the game."", 'Once i finished all nine trilogies and did all of the side quest, the game got stale for me tbh, Sorry :P', 'That was certainly a top tier LEGO game (and Star Wars game). Its replayability is a bit lackluster, as is its post-launch content, but the game delivered precisely what it needed to be. A modern LEGO game that adapts all nine films of the Star Wars saga. Hell, it even managed to make The Last Jedi and The Rise of Skywalker somewhat enjoyable, which is saying a lot because they were fucking terrible movies lmao.', 'Afraid of bad level design, I was. Because of focus on open world. Correct in assumption, I sadly became. Enjoying open world, I surprisingly did.', ""The team went through development hell to refresh the Lego video game series into...this? I'm afraid it was not time well spent.""]",3800,738,1600,1400
19,Lost Judgment,,"Sep 24, 2021","['Ryū Ga Gotoku Studios', 'Sega']",4.3,863,322,"['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Xbox Series']","['Adventure', 'Brawler', 'RPG']","Lost Judgment once again puts players in the sneakers of lawyer turned street-fighting detective Takayuki Yagami. Joined by his partner, ex-yakuza Masaharu Kaito, the crime-fighting duo is called on to investigate a seemingly perfect crime whose lead suspect has an airtight alibi. What starts out as a tale of revenge reveals a tangled web of conspiracy involving several unlikely factions taking advantage of a broken law system. But as victims pile up and Yagami unravels the truth, he must choose between defending the law or exacting justice.","[""I can't believe it finally happened. I finally found a RGG Studio game that can stand toe-to-toe with Yakuza 0, I never thought I'd see the day."", 'RIP Nagoshi bozo you done produced your last great game', 'kuwanahive stand UP', 'JIN PEAK PEAK PEAK GOAT GOAT GOAT', '“You’re right. The law is incomplete. As it is now, people do fall through the cracks. But the law evolves. We try to make it better. But that’s going to take time. That’s why, when the law can’t save someone, i’ll be there to protect them. Except… My approach won’t be anything like yours.”', 'You have to have played Judge Eyes (Judgment) in order to enjoy this game to the fullest']",1900,206,1900,1700
